WD	company
-	O
Desktop	model
Everyday	model
4TB	size
Internal	type
SATA	O
Hard	O
Drive	O
for	O
Desktops	O

Seagate	company
-	O
Backup	model
Plus	model
Slim	model
Ultra	model
2TB	size
External	type
USB	port
3.0	port
Portable	type
Hard	O
Drive	O
-	O
Gold	color

WD	company
-	O
Mainstream	model
2TB	size
Internal	type
Serial	misc
ATA	misc
Hard	O
Drive	O
for	O
Desktops	O
-	O
Multi	color

Seagate	company
-	O
2TB	size
Internal	type
SATA	misc
Hard	O
Drive	O
for	O
Laptops	O
-	O
Multi	color

Seagate	company
-	O
Wireless	model
Plus	model
2TB	size
Portable	type
Hard	O
Drive	O
-	O
Gray	color

WD	company
-	O
Elements	model
2TB	size
External	type
USB	port
3.0	port
Portable	type
Hard	O
Drive	O

Seagate	company
-	O
Expansion	model
Desktop	model
8TB	size
External	type
USB	port
3.0	port
Hard	O
Drive	O
-	O
black	color

WD	company
-	O
Mainstream	model
1TB	size
Internal	type
Serial	misc
ATA	misc
Hard	O
Drive	O
for	O
Laptops	O
-	O
Multi	color

Seagate	company
-	O
2TB	size
Internal	type
Serial	misc
ATA	misc
Hard	O
Drive	O
for	O
Desktops	O
-	O
Multi	color

G-Technology	company
-	O
G-DRIVE	model
mobile	model
USB-C	port
1TB	size
External	type
USB	port
3.1	port
Gen1	model
Portable	type
Hard	O
Drive	O
-	O
Silver	color

LaCie	company
-	O
Rugged	model
Triple	model
301984	model
1	size
TB	size
External	type
Hard	O
Drive	O
-	O
Orange	color

Seagate	company
-	O
Backup	model
Plus	model
Hub	model
for	model
Mac	model
4TB	size
External	type
USB	port
3.0	port
Portable	type
Hard	O
Drive	O
-	O
White	color

Seagate	company
-	O
Backup	model
Plus	model
Hub	model
for	model
Mac	model
8TB	size
External	type
USB	port
3.0	port
Portable	type
Hard	O
Drive	O
-	O
White	color

Toshiba	company
-	O
Canvio	model
3TB	size
External	type
USB	port
3.0	port
Portable	type
Hard	O
Drive	O
-	O
Black	color

Apple	company
-	O
Geek	misc
Squad	misc
Certified	misc
Refurbished	misc
AirPort®	model
Time	model
Capsule®	model
2TB	size
Wireless	port
Hard	O
Drive	O
&	O
802.11ac	port
Wi-Fi	port
Base	misc
Station	misc
-	O
White	color

Apple	company
-	O
AirPort®	model
Time	model
Capsule®	model
2TB	size
Wireless	port
Hard	O
Drive	O
&	O
802.11ac	port
Wi-Fi	port
Base	misc
Station	misc

WD	company
-	O
My	model
Passport	model
Ultra	model
Metal	model
Edition	model
3TB	size
External	type
USB	port
3.0/2.0	port
Portable	type
Hard	O
Drive	O
-	O
Silver	color

PNY	company
-	O
Elite	model
240GB	size
External	type
USB	port
3.0	port
Portable	type
Solid	misc
State	misc
Drive	misc
-	O
Aluminium	color

Seagate	company
-	O
Backup	model
Plus	model
for	model
Mac	model
4TB	size
